culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,adelie,chinstrap,gentoo
48.7,14.1,210,4450,0.0,0.0,1.0
51.1,16.3,220,6000,0.0,0.0,1.0
51.7,20.3,194,3775,0.0,1.0,0.0
42.8,18.5,195,4250,1.0,0.0,0.0
46.2,14.1,217,4375,0.0,0.0,1.0
36.4,17.1,184,2850,1.0,0.0,0.0
39.0,17.1,191,3050,1.0,0.0,0.0
36.7,19.3,193,3450,1.0,0.0,0.0
48.4,14.6,213,5850,0.0,0.0,1.0
50.0,15.2,218,5700,0.0,0.0,1.0
45.3,13.8,208,4200,0.0,0.0,1.0
38.8,17.2,180,3800,1.0,0.0,0.0
47.0,17.3,185,3700,0.0,1.0,0.0
45.6,19.4,194,3525,0.0,1.0,0.0
50.0,15.3,220,5550,0.0,0.0,1.0
40.2,17.1,193,3400,1.0,0.0,0.0
41.3,20.3,194,3550,1.0,0.0,0.0
50.5,15.2,216,5000,0.0,0.0,1.0
50.2,18.7,198,3775,0.0,1.0,0.0
40.2,17.0,176,3450,1.0,0.0,0.0
43.2,19.0,197,4775,1.0,0.0,0.0
36.0,17.1,187,3700,1.0,0.0,0.0
36.0,18.5,186,3100,1.0,0.0,0.0
40.8,18.9,208,4300,1.0,0.0,0.0
43.2,16.6,187,2900,0.0,1.0,0.0
53.4,15.8,219,5500,0.0,0.0,1.0
35.7,18.0,202,3550,1.0,0.0,0.0
46.5,13.5,210,4550,0.0,0.0,1.0
37.8,20.0,190,4250,1.0,0.0,0.0
38.8,20.0,190,3950,1.0,0.0,0.0
33.1,16.1,178,2900,1.0,0.0,0.0
49.7,18.6,195,3600,0.0,1.0,0.0
40.9,16.6,187,3200,0.0,1.0,0.0
41.7,14.7,210,4700,0.0,0.0,1.0
48.4,14.4,203,4625,0.0,0.0,1.0
42.0,13.5,210,4150,0.0,0.0,1.0
41.1,17.5,190,3900,1.0,0.0,0.0
52.0,19.0,197,4150,0.0,1.0,0.0
52.0,20.7,210,4800,0.0,1.0,0.0
45.2,16.4,223,5950,0.0,0.0,1.0
42.6,13.7,213,4950,0.0,0.0,1.0
35.0,17.9,190,3450,1.0,0.0,0.0
46.4,15.0,216,4700,0.0,0.0,1.0
49.5,16.1,224,5650,0.0,0.0,1.0
36.2,17.2,187,3150,1.0,0.0,0.0
50.2,18.8,202,3800,0.0,1.0,0.0
45.0,15.4,220,5050,0.0,0.0,1.0
41.1,18.2,192,4050,1.0,0.0,0.0
47.4,14.6,212,4725,0.0,0.0,1.0
43.5,14.2,220,4700,0.0,0.0,1.0
40.7,17.0,190,3725,1.0,0.0,0.0
48.2,15.6,221,5100,0.0,0.0,1.0
42.2,19.5,197,4275,1.0,0.0,0.0
39.0,18.7,185,3650,1.0,0.0,0.0
47.8,15.0,215,5650,0.0,0.0,1.0
32.1,15.5,188,3050,1.0,0.0,0.0
43.2,18.5,192,4100,1.0,0.0,0.0
42.8,14.2,209,4700,0.0,0.0,1.0
48.6,16.0,230,5800,0.0,0.0,1.0
50.4,15.3,224,5550,0.0,0.0,1.0
46.0,18.9,195,4150,0.0,1.0,0.0
45.7,17.3,193,3600,0.0,1.0,0.0
36.4,17.0,195,3325,1.0,0.0,0.0
45.1,14.5,215,5000,0.0,0.0,1.0
48.5,14.1,220,5300,0.0,0.0,1.0
49.1,15.0,228,5500,0.0,0.0,1.0
46.5,14.5,213,4400,0.0,0.0,1.0
49.0,19.6,212,4300,0.0,1.0,0.0
50.7,19.7,203,4050,0.0,1.0,0.0
38.1,18.6,190,3700,1.0,0.0,0.0
49.0,19.5,210,3950,0.0,1.0,0.0
36.3,19.5,190,3800,1.0,0.0,0.0
46.2,14.5,209,4800,0.0,0.0,1.0
36.7,18.8,187,3800,1.0,0.0,0.0
39.7,17.7,193,3200,1.0,0.0,0.0
44.4,17.3,219,5250,0.0,0.0,1.0
49.8,17.3,198,3675,0.0,1.0,0.0
35.0,17.9,192,3725,1.0,0.0,0.0
49.3,19.9,203,4050,0.0,1.0,0.0
46.6,17.8,193,3800,0.0,1.0,0.0
51.3,19.2,193,3650,0.0,1.0,0.0
44.9,13.8,212,4750,0.0,0.0,1.0
46.4,15.6,221,5000,0.0,0.0,1.0
51.9,19.5,206,3950,0.0,1.0,0.0
50.3,20.0,197,3300,0.0,1.0,0.0
37.8,18.1,193,3750,1.0,0.0,0.0
40.6,19.0,199,4000,1.0,0.0,0.0
45.5,14.5,212,4750,0.0,0.0,1.0
40.6,18.6,183,3550,1.0,0.0,0.0
36.2,16.1,187,3550,1.0,0.0,0.0
45.8,14.2,219,4700,0.0,0.0,1.0
42.0,20.2,190,4250,1.0,0.0,0.0
45.5,15.0,220,5000,0.0,0.0,1.0
44.9,13.3,213,5100,0.0,0.0,1.0
49.6,15.0,216,4750,0.0,0.0,1.0
39.3,20.6,190,3650,1.0,0.0,0.0
37.7,16.0,183,3075,1.0,0.0,0.0
36.0,17.9,190,3450,1.0,0.0,0.0
50.5,15.9,225,5400,0.0,0.0,1.0
50.9,17.9,196,3675,0.0,1.0,0.0
